Date,Currency_in_circulation_Total,Other_deposits_with_RBI,Bankers_deposits_with_RBI,Reserve_Money_(Liabilities/Components),RBIs_Claims_on_Government(net),RBIs_Claims_on_Central_Govt,RBIs_Claims_on_Banks_and_Commercial_sector,RBIs_Claims_on_Banks_(Including NABARD),RBIs_claims_on_Commercial_sector_(Excluding NABARD),Net_foreign_exchange_assets_of_RBI,Govts_currency_liabilities_to_the_public,Net_non_monetary_liabilities_of_RBI
02-08-2013,1201256,2417,342978,1546652,671681,671629,40406,36897,3510,1652538,16039,834013
09-08-2013,1216933,2391,340667,1559990,654906,653849,41796,38191,3605,1669232,16039,821983
16-08-2013,1223228,2254,343284,1568766,662448,661123,44706,40924,3782,1688315,16039,842742
23-08-2013,1213720,5430,337982,1557132,657706,657039,45655,41828,3827,1753772,16228,916229
30-08-2013,1203744,5486,345355,1554585,664544,664557,47389,43562,3827,1780679,16228,954255
06-09-2013,1212666,4521,349345,1566533,685638,685681,40419,36640,3780,1778926,16228,954679
13-09-2013,1222289,4443,375054,1601786,724230,724092,46741,42961,3780,1728343,16228,913757
20-09-2013,1215626,4128,339377,1559131,679813,678695,46167,42387,3780,1702263,16385,885496
27-09-2013,1202654,4602,345867,1553122,686822,686784,45081,41390,3691,1682907,16385,878073
04-10-2013,1207255,3785,330735,1541775,663710,662853,45212,41442,3771,1673411,16385,856943
11-10-2013,1230599,3699,330904,1565202,680614,679703,46615,42763,3852,1676544,16385,854956
18-10-2013,1242497,3730,333566,1579793,697167,695061,45715,41902,3813,1690840,16556,870486
25-10-2013,1233459,4211,336868,1574539,680416,679594,48488,44668,3820,1710831,16556,881753
01-11-2013,1252462,4363,354743,1611568,708809,708851,45401,41581,3820,1706160,16556,865357
08-11-2013,1276863,4595,336549,1618007,707511,707554,48221,44448,3773,1732414,16556,886695
15-11-2013,1280269,3987,333187,1617443,707688,708086,44785,40965,3820,1750157,16556,901743
22-11-2013,1270919,4162,332840,1607920,677675,677717,46637,42928,3709,1766505,16556,899453
29-11-2013,1261769,7943,346803,1616515,658386,658428,43170,39284,3887,1781822,16743,883607
06-12-2013,1272469,2401,338145,1613014,653048,653090,14140,11231,2910,1791716,16743,862634
13-12-2013,1278276,2274,362698,1643248,676152,675422,23872,18428,5444,1802917,16743,876436
20-12-2013,1274550,2458,332249,1609256,630101,629802,41462,35338,6124,1805439,16743,884489
27-12-2013,1268521,2487,342680,1613688,626493,625766,50268,42929,7339,1801541,16853,881468
03-01-2014,1259270,2311,331250,1592831,632648,631970,25788,18446,7342,1793971,16853,876429
10-01-2014,1276879,2365,339887,1619130,640091,638159,48960,41640,7320,1782518,16853,869292
17-01-2014,1287835,2133,338102,1628070,648779,648286,51778,43604,8174,1759437,16853,848776
24-01-2014,1279164,2434,342702,1624300,660143,659115,38140,30014,8126,1782190,17019,873192
31-01-2014,1271660,1199,338571,1611430,644273,644079,47764,38866,8898,1784269,17019,881895
07-02-2014,1287777,1304,334736,1623817,656940,656339,49179,40852,8327,1787857,17019,887178
14-02-2014,1296088,1215,334950,1632253,660056,659775,54712,45927,8785,1795641,17019,895175
21-02-2014,1291939,1508,331679,1625127,658951,658541,48577,40693,7884,1790197,17168,889767
28-02-2014,1288370,1428,349965,1639763,679626,679354,43925,36060,7865,1792789,17168,893745
07-03-2014,1299655,1461,341507,1642623,687062,687104,38957,31290,7666,1771609,17168,872173
14-03-2014,1307488,1729,389051,1698268,735039,734921,36102,28285,7817,1797261,17168,887302
21-03-2014,1307686,1757,336237,1645680,655988,654996,50329,41789,8540,1793608,17336,871580
28-03-2014,1300847,2387,402516,1705751,686388,684942,51193,42354,8839,1803399,17336,852565
31-03-2014,1301074,1965,429703,1732742,698708,697643,57489,48650,8839,1802525,17339,843319
04-04-2014,1306115,2177,346995,1655287,620193,617395,45925,37364,8561,1823422,17339,851592
11-04-2014,1330726,3098,345222,1679046,635522,633926,47905,39588,8317,1838499,17339,860219
18-04-2014,1345088,2344,347044,1694475,656875,655014,41033,32042,8990,1841607,17477,862517
25-04-2014,1342161,2316,352983,1697459,643745,641707,56470,47480,8990,1865490,17477,885723
02-05-2014,1349051,2016,351890,1702956,638657,638523,50675,41685,8990,1852370,17477,856223
09-05-2014,1371063,2261,343981,1717306,652410,651299,42074,34403,7671,1859349,17477,854003
16-05-2014,1378989,2619,344556,1726164,650286,649664,47332,39434,7898,1832363,17477,821293
23-05-2014,1371508,3904,344025,1719436,661875,661281,39884,31387,8497,1808207,17477,808006
30-05-2014,1365730,2119,355328,1723177,669949,669582,39748,31457,8291,1822444,17698,826662
06-06-2014,1378427,1441,351730,1731598,697496,696291,18019,12345,5674,1825385,17698,827000
13-06-2014,1383426,1604,364435,1749465,703810,703019,26960,19155,7805,1839171,17698,838173
20-06-2014,1374659,1362,347341,1723362,672419,670815,27728,19959,7770,1870548,17698,865032
27-06-2014,1359295,683,359239,1719217,664524,663986,31194,23083,8111,1870369,17889,864759
04-07-2014,1359961,7609,345154,1712724,663418,663316,17419,9089,8330,1875745,17889,861747
11-07-2014,1367434,7480,349196,1724109,568077,567340,120123,108942,11181,1889719,17889,871698
18-07-2014,1361311,7316,351306,1719933,560944,559960,120034,108803,11231,1898732,17889,877667
25-07-2014,1348840,8135,358309,1715284,528253,528031,133751,122252,11499,1910365,18056,875141
01-08-2014,1345525,7037,354009,1706570,539448,539490,117076,106366,10710,1925734,18056,893744
08-08-2014,1355436,6351,347297,1709084,554856,554278,108231,97896,10335,1939984,18056,912043
15-08-2014,1361340,6435,356740,1724515,506052,505286,120236,109865,10372,1927507,18056,847335
22-08-2014,1350287,6530,349751,1706568,516549,515557,92088,80973,11115,1906588,18265,826922
29-08-2014,1338929,6904,381085,1726918,535620,535122,94890,82982,11908,1908027,18265,829884
05-09-2014,1347925,6892,353590,1708407,588133,586505,20773,14907,5866,1899858,18265,818622
12-09-2014,1352496,7458,356313,1716268,565706,565243,53423,47263,6161,1900473,18265,821600
19-09-2014,1344005,7103,357604,1708711,522727,522207,86031,77493,8538,1901884,18417,820349
26-09-2014,1334491,7398,359349,1701238,539154,538445,65451,55036,10415,1912965,18417,834749
03-10-2014,1339719,8317,368302,1716338,605234,604934,11082,1286,9796,1903070,18417,821466
10-10-2014,1361606,7357,353985,1722947,578053,575968,41547,33346,8201,1895956,18417,811026
17-10-2014,1364641,7370,355502,1727513,559264,557775,67683,59968,7715,1913293,18417,831144
24-10-2014,1383670,7204,392514,1783389,565768,565144,115682,106963,8719,1906670,18417,823149
31-10-2014,1367176,8066,361793,1737035,565986,565286,53515,45836,7679,1921480,18612,822558
07-11-2014,1379007,8329,359086,1746422,599106,597410,29208,25069,4139,1919924,18612,820429
14-11-2014,1383006,8011,358388,1749405,583620,581929,50251,45275,4976,1925797,18612,828875
21-11-2014,1375975,8659,360602,1745236,567537,565714,62308,57292,5016,1926960,18612,830180
28-11-2014,1369482,8727,371493,1749703,556815,555759,66769,62555,4214,1938994,18740,831615
05-12-2014,1384121,8153,371860,1764134,584280,580404,53586,49669,3918,1926817,18740,819290
12-12-2014,1394386,8242,369163,1771791,565855,563964,68811,64040,4771,1957532,18740,839148
19-12-2014,1392029,8679,366264,1766972,506976,505611,94746,89935,4811,1995152,18740,848642
26-12-2014,1389885,8138,367957,1765979,507270,506377,92277,86531,5746,2008882,18883,861332
02-01-2015,1378046,8280,362032,1748359,523285,523328,55656,49600,6056,1999035,18883,848501
09-01-2015,1399950,8560,363920,1772430,513163,511335,85170,79114,6056,1976717,18883,821503
16-01-2015,1412389,8205,366060,1786654,495816,493186,91592,85751,5841,1984750,18883,804388
